name,path,description,external_url,background_color,Background,Backhair,Body,Face,Fronthair
Love Addicted Girl #36,https://love-addicted-girls.s3.amazonaws.com/images/0036.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_moon,odango,shifuku2,kira1,odango
Love Addicted Girl #37,https://love-addicted-girls.s3.amazonaws.com/images/0037.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,hime,loli2,kira1,hime
Love Addicted Girl #38,https://love-addicted-girls.s3.amazonaws.com/images/0038.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_lantern,hime,casino2,cocktail2,hime
Love Addicted Girl #39,https://love-addicted-girls.s3.amazonaws.com/images/0039.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,twintail,casino2,basic2,twintail
Love Addicted Girl #40,https://love-addicted-girls.s3.amazonaws.com/images/0040.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime2,casino2,kira1,hime2
Love Addicted Girl #41,https://love-addicted-girls.s3.amazonaws.com/images/0041.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,cocktail,caba2,kira2,cocktail
Love Addicted Girl #42,https://love-addicted-girls.s3.amazonaws.com/images/0042.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime2,swim2,kira2,hime2
Love Addicted Girl #43,https://love-addicted-girls.s3.amazonaws.com/images/0043.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,cocktail,cab1,gal3,cocktail
Love Addicted Girl #44,https://love-addicted-girls.s3.amazonaws.com/images/0044.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_lantern,hime2,wafuku1,basic1,hime2
Love Addicted Girl #45,https://love-addicted-girls.s3.amazonaws.com/images/0045.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,twintail,wafuku1,cocktail2,twintail
Love Addicted Girl #46,https://love-addicted-girls.s3.amazonaws.com/images/0046.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,hime,shifuku2,kira1,hime
Love Addicted Girl #47,https://love-addicted-girls.s3.amazonaws.com/images/0047.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,odango,loli2,cocktail1,odango
Love Addicted Girl #48,https://love-addicted-girls.s3.amazonaws.com/images/0048.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime,shifuku2,cocktail3,hime
Love Addicted Girl #49,https://love-addicted-girls.s3.amazonaws.com/images/0049.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime2,casino2,kira1,hime2
Love Addicted Girl #50,https://love-addicted-girls.s3.amazonaws.com/images/0050.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,odango,maid2,gal3,odango
Love Addicted Girl #51,https://love-addicted-girls.s3.amazonaws.com/images/0051.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime2,swim1,gal3,hime2
Love Addicted Girl #52,https://love-addicted-girls.s3.amazonaws.com/images/0052.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,odango,sweet2,cocktail2,odango
Love Addicted Girl #53,https://love-addicted-girls.s3.amazonaws.com/images/0053.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime2,wafuku1,gal2,hime2
Love Addicted Girl #54,https://love-addicted-girls.s3.amazonaws.com/images/0054.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime2,wafuku1,kira2,hime2
Love Addicted Girl #55,https://love-addicted-girls.s3.amazonaws.com/images/0055.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,odango,maid1,ero1,odango
Love Addicted Girl #56,https://love-addicted-girls.s3.amazonaws.com/images/0056.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,zero,caba2,cocktail3,zero
Love Addicted Girl #57,https://love-addicted-girls.s3.amazonaws.com/images/0057.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,odango,sakyubasu1,basic2,odango
Love Addicted Girl #58,https://love-addicted-girls.s3.amazonaws.com/images/0058.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,gal,swim1,gal2,gal
Love Addicted Girl #59,https://love-addicted-girls.s3.amazonaws.com/images/0059.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,gal,cab1,ero2,gal
Love Addicted Girl #60,https://love-addicted-girls.s3.amazonaws.com/images/0060.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,gal,sakyubasu1,kira2,gal
Love Addicted Girl #61,https://love-addicted-girls.s3.amazonaws.com/images/0061.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,odango,wafuku1,basic1,odango
Love Addicted Girl #62,https://love-addicted-girls.s3.amazonaws.com/images/0062.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,gal,swim2,ero1,gal
Love Addicted Girl #63,https://love-addicted-girls.s3.amazonaws.com/images/0063.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_lantern,hime,cab1,basic2,hime
Love Addicted Girl #64,https://love-addicted-girls.s3.amazonaws.com/images/0064.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,twintail,caba2,ero2,twintail
Love Addicted Girl #65,https://love-addicted-girls.s3.amazonaws.com/images/0065.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,odango,shifuku2,cocktail2,odango
Love Addicted Girl #66,https://love-addicted-girls.s3.amazonaws.com/images/0066.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,odango,casino1,cocktail2,odango
Love Addicted Girl #67,https://love-addicted-girls.s3.amazonaws.com/images/0067.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,cocktail,wafuku2,basic1,cocktail
Love Addicted Girl #68,https://love-addicted-girls.s3.amazonaws.com/images/0068.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime,casino2,basic1,hime
Love Addicted Girl #69,https://love-addicted-girls.s3.amazonaws.com/images/0069.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,cocktail,shifuku3,gal2,cocktail
Love Addicted Girl #70,https://love-addicted-girls.s3.amazonaws.com/images/0070.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,odango,sweet2,kira1,odango
Love Addicted Girl #71,https://love-addicted-girls.s3.amazonaws.com/images/0071.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,gal,caba2,kira1,gal
Love Addicted Girl #72,https://love-addicted-girls.s3.amazonaws.com/images/0072.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_kurotuki,gal,maid1,kira1,gal
Love Addicted Girl #73,https://love-addicted-girls.s3.amazonaws.com/images/0073.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,cocktail,loli2,basic2,cocktail
Love Addicted Girl #74,https://love-addicted-girls.s3.amazonaws.com/images/0074.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_kurotsuki3,odango,wafuku1,cocktail1,odango
Love Addicted Girl #75,https://love-addicted-girls.s3.amazonaws.com/images/0075.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime,sakyubasu1,kira1,hime
Love Addicted Girl #76,https://love-addicted-girls.s3.amazonaws.com/images/0076.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime2,casino1,basic2,hime2
Love Addicted Girl #77,https://love-addicted-girls.s3.amazonaws.com/images/0077.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime2,loli2,cocktail1,hime2
Love Addicted Girl #78,https://love-addicted-girls.s3.amazonaws.com/images/0078.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime,cab1,ero1,hime
Love Addicted Girl #79,https://love-addicted-girls.s3.amazonaws.com/images/0079.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime2,swim2,basic1,hime2
Love Addicted Girl #80,https://love-addicted-girls.s3.amazonaws.com/images/0080.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime,casino2,cocktail2,hime
Love Addicted Girl #81,https://love-addicted-girls.s3.amazonaws.com/images/0081.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,hime,swim2,ero2,hime
Love Addicted Girl #82,https://love-addicted-girls.s3.amazonaws.com/images/0082.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,cocktail,maid2,basic2,cocktail
Love Addicted Girl #83,https://love-addicted-girls.s3.amazonaws.com/images/0083.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,odango,shifuku3,cocktail1,odango
Love Addicted Girl #84,https://love-addicted-girls.s3.amazonaws.com/images/0084.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime2,cab1,cocktail3,hime2
Love Addicted Girl #85,https://love-addicted-girls.s3.amazonaws.com/images/0085.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,twintail,caba2,ero1,twintail
Love Addicted Girl #86,https://love-addicted-girls.s3.amazonaws.com/images/0086.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,gal,casino2,kira2,gal
Love Addicted Girl #87,https://love-addicted-girls.s3.amazonaws.com/images/0087.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,cocktail,maid1,kira1,cocktail
Love Addicted Girl #88,https://love-addicted-girls.s3.amazonaws.com/images/0088.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,hime2,swim1,cocktail3,hime2
Love Addicted Girl #89,https://love-addicted-girls.s3.amazonaws.com/images/0089.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,odango,shifuku3,ero2,odango
Love Addicted Girl #90,https://love-addicted-girls.s3.amazonaws.com/images/0090.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,hime,caba2,cocktail2,hime
Love Addicted Girl #91,https://love-addicted-girls.s3.amazonaws.com/images/0091.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,zero,loli2,ero1,zero
Love Addicted Girl #92,https://love-addicted-girls.s3.amazonaws.com/images/0092.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,hime,maid2,basic2,hime
Love Addicted Girl #93,https://love-addicted-girls.s3.amazonaws.com/images/0093.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime2,casino2,kira3,hime2
Love Addicted Girl #94,https://love-addicted-girls.s3.amazonaws.com/images/0094.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_moon,cocktail,swim2,basic1,cocktail
Love Addicted Girl #95,https://love-addicted-girls.s3.amazonaws.com/images/0095.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,odango,maid2,kira2,odango
Love Addicted Girl #96,https://love-addicted-girls.s3.amazonaws.com/images/0096.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,zero,casino2,kira3,zero
Love Addicted Girl #97,https://love-addicted-girls.s3.amazonaws.com/images/0097.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,cocktail,cab1,kira3,cocktail
Love Addicted Girl #98,https://love-addicted-girls.s3.amazonaws.com/images/0098.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime2,swim2,cocktail1,hime2
Love Addicted Girl #99,https://love-addicted-girls.s3.amazonaws.com/images/0099.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,hime,swim1,gal3,hime
Love Addicted Girl #100,https://love-addicted-girls.s3.amazonaws.com/images/0100.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,cocktail,shifuku2,basic1,cocktail
Love Addicted Girl #101,https://love-addicted-girls.s3.amazonaws.com/images/0101.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_kurotuki,cocktail,caba2,cocktail1,cocktail
Love Addicted Girl #102,https://love-addicted-girls.s3.amazonaws.com/images/0102.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime,swim2,ero2,hime
Love Addicted Girl #103,https://love-addicted-girls.s3.amazonaws.com/images/0103.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_kurotsuki3,cocktail,cab1,gal3,cocktail
Love Addicted Girl #104,https://love-addicted-girls.s3.amazonaws.com/images/0104.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,hime2,maid1,ero2,hime2
Love Addicted Girl #105,https://love-addicted-girls.s3.amazonaws.com/images/0105.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,zero,loli1,basic1,zero
Love Addicted Girl #106,https://love-addicted-girls.s3.amazonaws.com/images/0106.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,gal,loli2,gal3,gal
Love Addicted Girl #107,https://love-addicted-girls.s3.amazonaws.com/images/0107.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime,shifuku2,gal2,hime
Love Addicted Girl #108,https://love-addicted-girls.s3.amazonaws.com/images/0108.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime,wafuku2,kira3,hime
Love Addicted Girl #109,https://love-addicted-girls.s3.amazonaws.com/images/0109.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,cocktail,shifuku2,kira1,cocktail
Love Addicted Girl #110,https://love-addicted-girls.s3.amazonaws.com/images/0110.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,hime2,maid2,basic1,hime2
Love Addicted Girl #111,https://love-addicted-girls.s3.amazonaws.com/images/0111.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,gal,swim1,ero2,gal
Love Addicted Girl #112,https://love-addicted-girls.s3.amazonaws.com/images/0112.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,zero,wafuku1,ero1,zero
Love Addicted Girl #113,https://love-addicted-girls.s3.amazonaws.com/images/0113.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime,maid2,cocktail2,hime
Love Addicted Girl #114,https://love-addicted-girls.s3.amazonaws.com/images/0114.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime,caba2,kira3,hime
Love Addicted Girl #115,https://love-addicted-girls.s3.amazonaws.com/images/0115.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,hime,maid2,ero2,hime
Love Addicted Girl #116,https://love-addicted-girls.s3.amazonaws.com/images/0116.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,odango,loli2,ero1,odango
Love Addicted Girl #117,https://love-addicted-girls.s3.amazonaws.com/images/0117.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,twintail,caba2,cocktail2,twintail
Love Addicted Girl #118,https://love-addicted-girls.s3.amazonaws.com/images/0118.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,zero,shifuku3,gal3,zero
Love Addicted Girl #119,https://love-addicted-girls.s3.amazonaws.com/images/0119.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_lantern,zero,loli1,cocktail2,zero
Love Addicted Girl #120,https://love-addicted-girls.s3.amazonaws.com/images/0120.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime2,shifuku2,basic2,hime2
Love Addicted Girl #121,https://love-addicted-girls.s3.amazonaws.com/images/0121.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,twintail,loli1,gal3,twintail
Love Addicted Girl #122,https://love-addicted-girls.s3.amazonaws.com/images/0122.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,cocktail,shifuku2,cocktail1,cocktail
Love Addicted Girl #123,https://love-addicted-girls.s3.amazonaws.com/images/0123.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime,loli1,cocktail3,hime
Love Addicted Girl #124,https://love-addicted-girls.s3.amazonaws.com/images/0124.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,hime2,shifuku3,cocktail2,hime2
Love Addicted Girl #125,https://love-addicted-girls.s3.amazonaws.com/images/0125.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,cocktail,wafuku2,kira2,cocktail
Love Addicted Girl #126,https://love-addicted-girls.s3.amazonaws.com/images/0126.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,cocktail,cab1,cocktail3,cocktail
Love Addicted Girl #127,https://love-addicted-girls.s3.amazonaws.com/images/0127.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,cocktail,swim1,ero2,cocktail
Love Addicted Girl #128,https://love-addicted-girls.s3.amazonaws.com/images/0128.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,twintail,casino1,kira3,twintail
Love Addicted Girl #129,https://love-addicted-girls.s3.amazonaws.com/images/0129.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,gal,shifuku,kira1,gal
Love Addicted Girl #130,https://love-addicted-girls.s3.amazonaws.com/images/0130.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,twintail,swim2,gal3,twintail
Love Addicted Girl #131,https://love-addicted-girls.s3.amazonaws.com/images/0131.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime,maid2,cocktail1,hime
Love Addicted Girl #132,https://love-addicted-girls.s3.amazonaws.com/images/0132.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime,swim1,basic1,hime
Love Addicted Girl #133,https://love-addicted-girls.s3.amazonaws.com/images/0133.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,twintail,sweet2,basic2,twintail
Love Addicted Girl #134,https://love-addicted-girls.s3.amazonaws.com/images/0134.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_kurotuki,cocktail,shifuku3,cocktail3,cocktail
Love Addicted Girl #135,https://love-addicted-girls.s3.amazonaws.com/images/0135.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime,shifuku,gal3,hime
Love Addicted Girl #136,https://love-addicted-girls.s3.amazonaws.com/images/0136.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,hime,maid1,basic2,hime
Love Addicted Girl #137,https://love-addicted-girls.s3.amazonaws.com/images/0137.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,twintail,casino2,gal2,twintail
Love Addicted Girl #138,https://love-addicted-girls.s3.amazonaws.com/images/0138.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,zero,shifuku,basic2,zero
Love Addicted Girl #139,https://love-addicted-girls.s3.amazonaws.com/images/0139.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime,sakyubasu1,basic1,hime
Love Addicted Girl #140,https://love-addicted-girls.s3.amazonaws.com/images/0140.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime,loli2,cocktail2,hime
Love Addicted Girl #141,https://love-addicted-girls.s3.amazonaws.com/images/0141.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,gal,shifuku,gal3,gal
Love Addicted Girl #142,https://love-addicted-girls.s3.amazonaws.com/images/0142.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,odango,swim2,kira3,odango
Love Addicted Girl #143,https://love-addicted-girls.s3.amazonaws.com/images/0143.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,hime2,swim2,kira1,hime2
Love Addicted Girl #144,https://love-addicted-girls.s3.amazonaws.com/images/0144.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,gal,shifuku3,ero1,gal
Love Addicted Girl #145,https://love-addicted-girls.s3.amazonaws.com/images/0145.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,zero,maid2,ero2,zero
Love Addicted Girl #146,https://love-addicted-girls.s3.amazonaws.com/images/0146.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,cocktail,cab1,ero1,cocktail
Love Addicted Girl #147,https://love-addicted-girls.s3.amazonaws.com/images/0147.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,hime2,wafuku1,cocktail1,hime2
Love Addicted Girl #148,https://love-addicted-girls.s3.amazonaws.com/images/0148.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,gal,wafuku2,cocktail3,gal
